class_date,course_type,language,level_category,q,_order
2018-01-08 00:00:00.000,Live,Portuguese,High Beginner,0,1
2018-01-08 00:00:00.000,Live,Portuguese,Intermediate,1,1
2018-01-08 00:00:00.000,Live,Portuguese,True Beginner,1,1
2018-01-08 00:00:00.000,Live,Spanish,High Beginner,10,1
2018-01-08 00:00:00.000,Live,Spanish,Intermediate,6,1
2018-01-08 00:00:00.000,Live,Spanish,True Beginner,9,1
2018-01-08 00:00:00.000,Private,Portuguese,High Beginner,1,1
2018-01-08 00:00:00.000,Private,Portuguese,Intermediate,1,1
2018-01-08 00:00:00.000,Private,Portuguese,True Beginner,1,1
2018-01-08 00:00:00.000,Private,Spanish,High Beginner,1,1
2018-01-08 00:00:00.000,Private,Spanish,Intermediate,1,1
2018-01-08 00:00:00.000,Private,Spanish,True Beginner,1,1
2018-01-08 00:30:00.000,Live,Portuguese,High Beginner,1,1
2018-01-08 00:30:00.000,Live,Portuguese,Intermediate,1,1
2018-01-08 00:30:00.000,Live,Portuguese,True Beginner,1,1
2018-01-08 00:30:00.000,Live,Spanish,High Beginner,6,1
2018-01-08 00:30:00.000,Live,Spanish,Intermediate,4,1
2018-01-08 00:30:00.000,Live,Spanish,True Beginner,7,1
2018-01-08 00:30:00.000,Private,Portuguese,High Beginner,1,1
2018-01-08 00:30:00.000,Private,Portuguese,Intermediate,1,1
2018-01-08 00:30:00.000,Private,Portuguese,True Beginner,1,1
2018-01-08 00:30:00.000,Private,Spanish,High Beginner,1,1
2018-01-08 00:30:00.000,Private,Spanish,Intermediate,0,1
2018-01-08 00:30:00.000,Private,Spanish,True Beginner,1,1
2018-01-08 01:00:00.000,Live,Portuguese,High Beginner,1,1
2018-01-08 01:00:00.000,Live,Portuguese,Intermediate,1,1
2018-01-08 01:00:00.000,Live,Portuguese,True Beginner,1,1
2018-01-08 01:00:00.000,Live,Spanish,High Beginner,4,1
2018-01-08 01:00:00.000,Live,Spanish,Intermediate,3,1
2018-01-08 01:00:00.000,Live,Spanish,True Beginner,4,1
2018-01-08 01:00:00.000,Private,Portuguese,High Beginner,1,1
2018-01-08 01:00:00.000,Private,Portuguese,Intermediate,1,1
2018-01-08 01:00:00.000,Private,Portuguese,True Beginner,1,1
2018-01-08 01:00:00.000,Private,Spanish,High Beginner,1,1
2018-01-08 01:00:00.000,Private,Spanish,Intermediate,1,1
2018-01-08 01:00:00.000,Private,Spanish,True Beginner,1,1
